,nombre_artista,nombre_cancion,año_lanzamiento,género_musical,tipo
0,MAN WITH A MISSION,Dark Crow,2019,rock,track
1,Bring Me The Horizon,MANTRA,2019,rock,track
2,Bring Me The Horizon,in the dark,2019,rock,track
3,ONE OK ROCK,Stand Out Fit In,2019,rock,track
4,YUNGBLUD,parents,2019,rock,track
5,Bring Me The Horizon,sugar honey ice & tea,2019,rock,track
6,El Cuarteto De Nos,Mario Neta,2019,rock,track
7,Dayseeker,Sleeptalk,2019,rock,track
8,Celtian,Niamh,2019,rock,track
9,Coldplay,Orphans,2019,rock,track
10,Foals,The Runner,2019,rock,track
11,STARSET,TRIALS,2019,rock,track
12,Cage The Elephant,Broken Boy,2019,rock,track
13,Wallows,Scrawny,2019,rock,track
14,I Prevail,Hurricane,2019,rock,track
15,Cage The Elephant,Social Cues,2019,rock,track
16,The Mystery Lights,It's Alright,2019,rock,track
17,Tame Impala,Patience,2019,rock,track
18,Falling In Reverse,Drugs,2019,rock,track
19,Skillet,Finish Line,2019,rock,track
20,Cam Cole,Mama,2019,rock,track
21,Coldplay,Orphans,2019,rock,track
22,Skillet,Legendary,2019,rock,track
23,Ghost,Kiss The Go-Goat,2019,rock,track
24,No Te Va Gustar,A Las Nueve,2019,rock,track
25,Foster The People,Imagination,2019,rock,track
26,Vampire Weekend,Harmony Hall,2019,rock,track
27,Rival Sons,Do Your Worst,2019,rock,track
28,Vampire Weekend,This Life,2019,rock,track
29,Falling In Reverse,Popular Monster,2019,rock,track
30,mgk,I Think I'm OKAY (with YUNGBLUD & Travis Barker),2019,rock,track
31,Wallows,Remember When,2019,rock,track
32,No Te Va Gustar,Chau,2019,rock,track
33,Bad Wolves,Killing Me Slowly,2019,rock,track
34,The Backseat Lovers,Pool House,2019,rock,track
35,Stick Figure,World on Fire (feat. Slightly Stoopid),2019,rock,track
36,Surf Curse,Disco,2019,rock,track
37,Marea,Muchas lanzas,2019,rock,track
38,Rulo y la contrabanda,Verano del 95,2019,rock,track
39,Celtas Cortos,Silencio,2019,rock,track
40,The Backseat Lovers,Maple Syrup,2019,rock,track
41,Orchestral Manoeuvres In The Dark,If You Leave - Remastered 2019,2019,rock,track
42,The Backseat Lovers,Kilby Girl,2019,rock,track
43,The Black Keys,Shine A Little Light,2019,rock,track
44,Mala Hierba,Quiero Que Vengas,2019,rock,track
45,Eyedress,Jealous,2019,rock,track
46,Los De Marras,Hoy - Remezclado y Remasterizado 2019,2019,rock,track
47,Pugface,Storm,2019,rock,track
48,Tom Petty,Runnin' Down A Dream,2019,rock,track
49,The Black Keys,Lo/Hi,2019,rock,track
50,Bring Me The Horizon,mother tongue,2019,rock,track
51,Bring Me The Horizon,medicine,2019,rock,track
52,Bring Me The Horizon,wonderful life (feat. Dani Filth),2019,rock,track
53,Reignwolf,Keeper,2019,rock,track
54,blink-182,Darkside,2019,rock,track
55,Boy Harsher,Motion,2019,rock,track
56,Declan McKenna,British Bombs,2019,rock,track
57,Of Monsters and Men,Alligator,2019,rock,track
58,TOOL,Descending,2019,rock,track
59,Coldplay,Orphans,2019,rock,track
60,Basement,Are You The One,2019,rock,track
61,Broken Bells,Good Luck,2019,rock,track
62,El Cuarteto De Nos,Hombre Con Alas,2019,rock,track
63,Fitz and The Tantrums,I Just Wanna Shine,2019,rock,track
64,Skillet,Save Me,2019,rock,track
65,Local Natives,When Am I Gonna Lose You,2019,rock,track
66,El Cuarteto De Nos,Anónimo,2019,rock,track
67,Cage The Elephant,Ready To Let Go,2019,rock,track
68,Twin Tribes,Fantasmas,2019,rock,track
69,Los Rodriguez,Princesa,2019,rock,track
70,Cruzando El Charco,Soy,2019,rock,track
71,Motionless In White,Brand New Numb,2019,rock,track
72,The Raconteurs,Now That You're Gone,2019,rock,track
73,The Score,Dreamin (with blackbear),2019,rock,track
74,Sum 41,Never There,2019,rock,track
75,Ghost Funk Orchestra,Walk Like a Motherfucker,2019,rock,track
76,Palace,Heaven Up There,2019,rock,track
77,Serú Girán,"Viernes, 3AM - 2019 Remasterizado",2019,rock,track
78,No Te Va Gustar,Esos Ojos,2019,rock,track
79,The Beatles,Oh! Darling - 2019 Mix,2019,rock,track
80,Cruzando El Charco,Lo Nuestro Tiene Magia,2019,rock,track
81,Goth Babe,Weekend Friend,2019,rock,track
82,The Animals,The House of the Rising Sun,2019,rock,track
83,The Rolling Stones,Don't Stop,2019,rock,track
84,Allah-Las,Raspberry Jam,2019,rock,track
85,Fruit Bats,The Bottom of It,2019,rock,track
86,Sinkope,De Vuelta de Ná,2019,rock,track
87,Volbeat,Leviathan,2019,rock,track
88,Cam Cole,New Age Blues,2019,rock,track
89,Volbeat,Die To Live,2019,rock,track
90,Los De Marras,Así Es la Vida - En Directo,2019,rock,track
91,The Black Keys,Go,2019,rock,track
92,Volbeat,Last Day Under The Sun,2019,rock,track
93,LEISURE,Easy Way Out,2019,rock,track
94,Somebody's Child,Jungle - 2019 Version,2019,rock,track
95,WildHeart,Animal,2019,rock,track
96,The Rolling Stones,Honky Tonk Women,2019,rock,track
97,WildHeart,Lonely,2019,rock,track
98,WildHeart,Seeing It Through,2019,rock,track
99,The Black Keys,Tell Me Lies,2019,rock,track
100,David Glen Eisley,Sweet Victory,2019,rock,track
101,Sleep Token,Take Aim,2019,rock,track
102,Bring Me The Horizon,heavy metal (feat. Rahzel),2019,rock,track
103,The Heavy,Put It on the Line (Theme from Borderlands),2019,rock,track
104,Dayseeker,Burial Plot,2019,rock,track
105,Confetti,Hot,2019,rock,track
106,X Ambassadors,HEY CHILD,2019,rock,track
107,Once Monsters,My Name Is..,2019,rock,track
